,ATL,BOS,BKN,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,935.44,745.32,226.36,588.56,554.41,719.27,1209.56,597.11,2131.77,700.21,425.97,1937.33,1932.19,335.7,605.56,668.8,907.02,424.52,747.37,754.16,401.8,662.54,1586.86,2166.15,2080.41,877.33,733.81,1579.43,542.15
BOS,935.44,0.0,190.22,720.14,850.03,548.74,1548.16,1764.74,611.44,2689.3,1602.94,804.83,2597.12,2590.37,1134.3,1256.54,855.03,1120.3,1358.01,188.08,1491.72,1115.35,273.16,2293.36,2530.12,2623.11,1761.06,428.91,2092.17,393.31
BKN,745.32,190.22,0.0,530.35,714.79,405.13,1370.77,1628.9,482.95,2564.44,1417.17,644.71,2453.6,2447.08,953.83,1088.82,734.28,1018.49,1168.25,4.78,1324.72,937.3,82.96,2139.82,2439.16,2500.34,1578.17,343.79,1968.71,203.17
CHA,226.36,720.14,530.35,0.0,588.96,435.44,928.37,1355.94,505.54,2293.92,925.17,427.65,2120.78,2115.23,519.67,653.19,659.15,938.64,649.0,532.88,938.21,462.73,447.51,1777.59,2283.14,2238.61,1100.06,586.41,1723.29,329.44
CHI,588.56,850.03,714.79,588.96,0.0,309.72,802.39,916.02,238.68,1849.69,940.65,166.29,1747.1,1740.35,482.87,1190.41,81.34,352.95,834.66,712.98,690.37,986.41,666.07,1448.53,1750.51,1785.85,1048.8,437.53,1254.38,596.38
CLE,554.41,548.74,405.13,435.44,309.72,0.0,1024.18,1224.29,91.29,2159.41,1113.76,262.84,2051.87,2045.24,630.25,1088.43,335.64,629.81,924.68,403.37,949.5,894.8,358.33,1744.71,2048.11,2095.52,1253.51,189.09,1563.99,304.51
DAL,719.27,1548.16,1370.77,928.37,802.39,1024.18,0.0,662.0,998.44,1477.02,226.6,762.93,1241.72,1237.35,419.54,1110.05,856.74,862.53,442.38,1371.18,188.89,960.95,1295.44,882.88,1628.88,1436.16,251.36,1202.23,997.7,1182.12
DEN,1209.56,1764.74,1628.9,1355.94,916.02,1224.29,662.0,0.0,1153.75,944.17,879.69,998.81,837.28,830.19,878.18,1724.51,912.18,697.99,1080.48,1627.33,505.18,1548.96,1574.69,585.0,979.06,885.29,803.99,1342.69,369.88,1489.9
DET,597.11,611.44,482.95,505.54,238.68,91.29,998.44,1153.75,0.0,2083.68,1105.51,240.21,1985.75,1978.99,623.42,1154.89,251.44,541.6,940.18,480.72,908.71,957.53,443.07,1685.88,1961.63,2018.87,1235.27,206.26,1487.21,395.46
GSW,2131.77,2689.3,2564.44,2293.92,1849.69,2159.41,1477.02,944.17,2083.68,0.0,1640.09,1942.14,347.77,345.24,1796.08,2586.99,1835.08,1578.42,1918.61,2562.57,1383.46,2433.55,2513.95,650.95,536.23,73.95,1487.46,2261.43,597.13,2432.62
HOU,700.21,1602.94,1417.17,925.17,940.65,1113.76,226.6,879.69,1105.51,1640.09,0.0,865.35,1375.26,1371.88,483.7,965.89,1005.8,1057.58,316.46,1418.34,413.79,846.55,1337.1,1013.94,1833.14,1605.76,185.99,1300.37,1199.75,1218.24
