Day,Home_Team,Away_Team
1,GSW,MIL
1,HOU,NYK
1,PHX,BOS
2,MIL,CLE
2,SAS,NYK
2,LAL,BOS
3,GSW,BOS
3,MIL,NYK
3,SAS,CLE
3,PHX,LAL
4,GSW,HOU
4,NYK,MIL
4,SAS,LAL
4,MIA,BOS
5,GSW,HOU
5,MIL,LAL
6,BOS,LAL
6,CLE,PHX
7,MIA,NYK
7,HOU,PHX
7,LAL,CLE
8,HOU,PHX
8,CLE,NYK
9,SAS,PHX
9,NYK,CLE
11,LAL,SAS
12,CLE,SAS
12,PHX,HOU
13,LAL,HOU
13,PHX,MIA
13,MIL,BOS
13,NYK,SAS
14,MIL,BOS
14,GSW,SAS
14,LAL,MIA
15,LAL,HOU
15,GSW,SAS
15,NYK,BOS
16,MIL,CLE
16,LAL,NYK
16,MIA,BOS
16,SAS,HOU
17,MIA,CLE
17,SAS,BOS
17,GSW,NYK
18,LAL,PHX
18,CLE,BOS
18,MIL,SAS
18,NYK,HOU
19,BOS,HOU
19,MIA,SAS
20,CLE,HOU
20,BOS,SAS
20,LAL,PHX
21,MIA,HOU
21,PHX,GSW
21,LAL,SAS
22,HOU,SAS
22,BOS,NYK
22,CLE,GSW
23,CLE,MIL
23,NYK,LAL
23,HOU,SAS
23,MIA,GSW
24,MIL,MIA
24,SAS,GSW
24,CLE,LAL
25,LAL,GSW
25,NYK,MIA
26,MIA,PHX
27,GSW,MIA
27,NYK,PHX
28,MIL,MIA
28,BOS,PHX
28,HOU,GSW
29,MIL,GSW
29,CLE,MIA
30,NYK,GSW
30,MIL,PHX
30,SAS,MIA
31,HOU,MIA
31,GSW,PHX
31,BOS,MIL
32,MIA,MIL
32,PHX,CLE
33,GSW,CLE
34,SAS,MIL
34,MIA,CLE
34,LAL,GSW
35,HOU,CLE
35,GSW,LAL
35,PHX,MIL
35,NYK,BOS
36,LAL,MIL
36,HOU,BOS
37,HOU,MIL
37,PHX,SAS
37,NYK,MIA
37,CLE,BOS
38,GSW,PHX
38,BOS,CLE
38,MIL,NYK
39,BOS,MIA
39,PHX,NYK
39,HOU,LAL
40,NYK,CLE
40,MIL,HOU
40,MIA,LAL
40,PHX,SAS
40,BOS,GSW
